,fraction or g/ml ,"V/V, W/V, Dry (undiluted or 100%)",,,M/F,(in days)(average value in case range is reported),(in hours)(average in case range is reported),,,(original)(spikes/second),(sfr subtracted or not),(response of solvent or control subtracted in case sfr not subtracted or reported),
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-7,yes,-7,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-2,yes,-2,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-2,yes,-2,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,3,yes,3,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-5,yes,-5,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,4,yes,4,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr59,Carey2010,-1,yes,-1,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr59,Carey2010,-4,yes,-4,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr59,Carey2010,-2,yes,-2,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr59,Carey2010,-2,yes,-2,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr61,Carey2010,-2,yes,-2,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr61,Carey2010,-2,yes,-2,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,0,yes,0,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,4,yes,4,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr61,Carey2010,4,yes,4,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,0,yes,0,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,0,yes,0,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,0,yes,0,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-2,yes,-2,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr61,Carey2010,11,yes,11,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr61,Carey2010,14,yes,14,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr61,Carey2010,0,yes,0,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-5,yes,-5,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,4,yes,4,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,3,yes,3,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,3,yes,3,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,3,yes,3,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-2,yes,-2,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,6,yes,6,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,18,yes,18,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,3,yes,3,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,12,yes,12,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,5,yes,5,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,3,yes,3,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,23,yes,23,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,11,yes,11,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,4,yes,4,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,18,yes,18,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,0,yes,0,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,3,yes,3,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,9,yes,9,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,5,yes,5,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,5,yes,5,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,7,yes,7,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,3,yes,3,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,4,yes,4,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-3,yes,-3,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-3,yes,-3,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,0,yes,0,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,9,yes,9,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,10,yes,10,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,11,yes,11,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,8,yes,8,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,4,yes,4,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,12,yes,12,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,10,yes,10,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,5,yes,5,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,4,yes,4,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,13,yes,13,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,17,yes,17,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,30,yes,30,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,26,yes,26,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,8,yes,8,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,22,yes,22,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,20,yes,20,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,24,yes,24,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,12,yes,12,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,17,yes,17,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,12,yes,12,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,18,yes,18,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,8,yes,8,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,12,yes,12,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,12,yes,12,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,2,yes,2,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,12,yes,12,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,0,yes,0,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,3,yes,3,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,0,yes,0,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-4,yes,-4,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,-2,yes,-2,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr61,Carey2010,5,yes,5,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr61,Carey2010,1,yes,1,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr61,Carey2010,-1,yes,-1,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr61,Carey2010,7,yes,7,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr63,Carey2010,5,yes,5,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-1,yes,-1,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,1,yes,1,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr63,Carey2010,6,yes,6,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr63,Carey2010,-4,yes,-4,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr63,Carey2010,1,yes,1,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-2,yes,-2,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,4,yes,4,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-2,yes,-2,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-1,yes,-1,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,4,yes,4,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr63,Carey2010,6,yes,6,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr63,Carey2010,7,yes,7,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr63,Carey2010,1,yes,1,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,1,yes,1,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr63,Carey2010,1,yes,1,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,1,yes,1,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr63,Carey2010,-1,yes,-1,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,3,yes,3,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-3,yes,-3,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-2,yes,-2,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-5,yes,-5,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,4,yes,4,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,9,yes,9,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,25,yes,25,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,22,yes,22,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,22,yes,22,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,21,yes,21,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-1,yes,-1,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,6,yes,6,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-2,yes,-2,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,1,yes,1,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-4,yes,-4,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,6,yes,6,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,25,yes,25,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,29,yes,29,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,25,yes,25,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,24,yes,24,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,10,yes,10,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-2,yes,-2,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,3,yes,3,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,14,yes,14,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,10,yes,10,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,7,yes,7,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-4,yes,-4,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-1,yes,-1,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-3,yes,-3,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,3,yes,3,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,3,yes,3,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-1,yes,-1,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-2,yes,-2,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,5,yes,5,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,4,yes,4,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-1,yes,-1,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,7,yes,7,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-3,yes,-3,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr63,Carey2010,-2,yes,-2,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,17,yes,17,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,17,yes,17,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,23,yes,23,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-5,yes,-5,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,6,yes,6,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,19,yes,19,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,6,yes,6,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,28,yes,28,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,27,yes,27,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,16,yes,16,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,12,yes,12,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,3,yes,3,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,-2,yes,-2,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,3,yes,3,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,3,yes,3,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,34,yes,34,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,19,yes,19,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,30,yes,30,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,1,yes,1,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,12,yes,12,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,25,yes,25,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,6,yes,6,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,3,yes,3,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,1,yes,1,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr63,Carey2010,2,yes,2,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr63,Carey2010,0,yes,0,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr63,Carey2010,5,yes,5,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr64,Carey2010,-7,yes,-7,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr64,Carey2010,-3,yes,-3,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr64,Carey2010,1,yes,1,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr64,Carey2010,3,yes,3,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr64,Carey2010,-2,yes,-2,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr64,Carey2010,-1,yes,-1,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr64,Carey2010,-5,yes,-5,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr64,Carey2010,0,yes,0,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr64,Carey2010,3,yes,3,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr64,Carey2010,-7,yes,-7,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr64,Carey2010,-3,yes,-3,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr64,Carey2010,-4,yes,-4,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr64,Carey2010,-2,yes,-2,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr64,Carey2010,1,yes,1,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr64,Carey2010,0,yes,0,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr64,Carey2010,3,yes,3,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr64,Carey2010,3,yes,3,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr64,Carey2010,3,yes,3,
